time,dataset,accuracy,aggregation,k,batch_size,seed,srocc,plcc,baseline,setup,finetune
1692794787.2037437,kadid10k,88.44142857142857,averaging,9,96,6,0.9247875330494514,0.9253806079463056,no,no_reference,0
1692794873.1848712,kadid10k,88.44142857142857,averaging,9,96,7,0.9279607630141852,0.9296401458602208,no,no_reference,0
1692794955.2556005,kadid10k,88.44142857142857,averaging,9,96,8,0.9170048737181145,0.921051095075186,no,no_reference,0
1692795036.5159214,kadid10k,88.44142857142857,averaging,9,96,9,0.9231498902681076,0.9231967992634806,no,no_reference,0
1692795126.0422585,kadid10k,88.44142857142857,averaging,9,96,10,0.9220490301161464,0.9222524674729796,no,no_reference,0
1692795200.3156517,kadid10k,88.44142857142857,averaging,9,96,11,0.9245017805161976,0.9269209132897142,no,no_reference,0
1692795284.0585828,kadid10k,88.44142857142857,averaging,9,96,12,0.9100777867543824,0.9113223492958048,no,no_reference,0
1692795371.4318075,kadid10k,88.44142857142857,averaging,9,96,13,0.9175988692019124,0.9199634058102164,no,no_reference,0
1692795458.48763,kadid10k,88.44142857142857,averaging,9,96,14,0.9161782725020576,0.9180563946409136,no,no_reference,0
1692795545.2713523,kadid10k,88.44142857142857,averaging,9,96,15,0.9291958028226396,0.9301532811588088,no,no_reference,0
1692795619.4827385,kadid10k,88.44142857142857,averaging,9,96,16,0.9048701395916158,0.9069339923079028,no,no_reference,0
1692795701.5024796,kadid10k,88.44142857142857,averaging,9,96,17,0.9156683556562618,0.9172194360094736,no,no_reference,0
1692795784.0905588,kadid10k,88.44142857142857,averaging,9,96,18,0.923125535841916,0.9248527055906766,no,no_reference,0
